"region";"hustyp";"2015"
"1491 Ulricehamn";"specialbostäder";195
"1492 Åmål";"småhus";3564
"1492 Åmål";"flerbostadshus";2411
"1492 Åmål";"övriga hus";162
"1492 Åmål";"specialbostäder";257
"1493 Mariestad";"småhus";6486
"1493 Mariestad";"flerbostadshus";5208
"1493 Mariestad";"övriga hus";214
"1493 Mariestad";"specialbostäder";325
"1494 Lidköping";"småhus";9618
"1494 Lidköping";"flerbostadshus";7982
"1494 Lidköping";"övriga hus";411
"1494 Lidköping";"specialbostäder";637
"1495 Skara";"småhus";4627
"1495 Skara";"flerbostadshus";3921
"1495 Skara";"övriga hus";189
"1495 Skara";"specialbostäder";393
"1496 Skövde";"småhus";11347
"1496 Skövde";"flerbostadshus";12763
"1496 Skövde";"övriga hus";612
"1496 Skövde";"specialbostäder";2080
"1497 Hjo";"småhus";2769
"1497 Hjo";"flerbostadshus";1327
"1497 Hjo";"övriga hus";73
"1497 Hjo";"specialbostäder";154
"1498 Tidaholm";"småhus";3726
"1498 Tidaholm";"flerbostadshus";2174
"1498 Tidaholm";"övriga hus";76
"1498 Tidaholm";"specialbostäder";217
"1499 Falköping";"småhus";8367
"1499 Falköping";"flerbostadshus";6188
"1499 Falköping";"övriga hus";289
"1499 Falköping";"specialbostäder";688
"1715 Kil";"småhus";3580
"1715 Kil";"flerbostadshus";1599
"1715 Kil";"övriga hus";77
"1715 Kil";"specialbostäder";128
"1730 Eda";"småhus";2988
"1730 Eda";"flerbostadshus";1023
"1730 Eda";"övriga hus";56
"1730 Eda";"specialbostäder";208
"1737 Torsby";"småhus";4549
"1737 Torsby";"flerbostadshus";1692
"1737 Torsby";"övriga hus";185
"1737 Torsby";"specialbostäder";286
"1760 Storfors";"småhus";1547
"1760 Storfors";"flerbostadshus";409
"1760 Storfors";"övriga hus";37
"1760 Storfors";"specialbostäder";69
"1761 Hammarö";"småhus";3962
"1761 Hammarö";"flerbostadshus";2309
"1761 Hammarö";"övriga hus";53
"1761 Hammarö";"specialbostäder";158
"1762 Munkfors";"småhus";1295
"1762 Munkfors";"flerbostadshus";682
"1762 Munkfors";"övriga hus";48
"1762 Munkfors";"specialbostäder";144
"1763 Forshaga";"småhus";3752
"1763 Forshaga";"flerbostadshus";1314
"1763 Forshaga";"övriga hus";55
"1763 Forshaga";"specialbostäder";115
"1764 Grums";"småhus";2818
"1764 Grums";"flerbostadshus";1581
"1764 Grums";"övriga hus";44
"1764 Grums";"specialbostäder";138
"1765 Årjäng";"småhus";3341
"1765 Årjäng";"flerbostadshus";1231
"1765 Årjäng";"övriga hus";98
"1765 Årjäng";"specialbostäder";214
"1766 Sunne";"småhus";4765
"1766 Sunne";"flerbostadshus";1303
"1766 Sunne";"övriga hus";173
"1766 Sunne";"specialbostäder";346
"1780 Karlstad";"småhus";15916
"1780 Karlstad";"flerbostadshus";27165
"1780 Karlstad";"övriga hus";914
"1780 Karlstad";"specialbostäder";2957
"1781 Kristinehamn";"småhus";5996
"1781 Kristinehamn";"flerbostadshus";5800
"1781 Kristinehamn";"övriga hus";273
"1781 Kristinehamn";"specialbostäder";416
"1782 Filipstad";"småhus";3275
"1782 Filipstad";"flerbostadshus";2203
"1782 Filipstad";"övriga hus";189
"1782 Filipstad";"specialbostäder";201
"1783 Hagfors";"småhus";4321
"1783 Hagfors";"flerbostadshus";1934
"1783 Hagfors";"övriga hus";121
"1783 Hagfors";"specialbostäder";130
"1784 Arvika";"småhus";7416
"1784 Arvika";"flerbostadshus";5331
"1784 Arvika";"övriga hus";430
"1784 Arvika";"specialbostäder";362
"1785 Säffle";"småhus";4915
"1785 Säffle";"flerbostadshus";2810
"1785 Säffle";"övriga hus";101
"1785 Säffle";"specialbostäder";200
"1814 Lekeberg";"småhus";2624
"1814 Lekeberg";"flerbostadshus";521
"1814 Lekeberg";"övriga hus";82
"1814 Lekeberg";"specialbostäder";82
"1860 Laxå";"småhus";1947
"1860 Laxå";"flerbostadshus";739
"1860 Laxå";"övriga hus";135
"1860 Laxå";"specialbostäder";103
"1861 Hallsberg";"småhus";4664
"1861 Hallsberg";"flerbostadshus";2454
"1861 Hallsberg";"övriga hus";123
"1861 Hallsberg";"specialbostäder";136
"1862 Degerfors";"småhus";3121
"1862 Degerfors";"flerbostadshus";1549
"1862 Degerfors";"övriga hus";56
"1862 Degerfors";"specialbostäder";225
"1863 Hällefors";"småhus";2282
"1863 Hällefors";"flerbostadshus";1369
"1863 Hällefors";"övriga hus";54
"1863 Hällefors";"specialbostäder";224
"1864 Ljusnarsberg";"småhus";1720
"1864 Ljusnarsberg";"flerbostadshus";783
"1864 Ljusnarsberg";"övriga hus";92
"1864 Ljusnarsberg";"specialbostäder";129
"1880 Örebro";"småhus";22927
"1880 Örebro";"flerbostadshus";41723
"1880 Örebro";"övriga hus";1543
"1880 Örebro";"specialbostäder";5158
"1881 Kumla";"småhus";5310
"1881 Kumla";"flerbostadshus";3952
"1881 Kumla";"övriga hus";143
"1881 Kumla";"specialbostäder";244
"1882 Askersund";"småhus";3742
"1882 Askersund";"flerbostadshus";1579
"1882 Askersund";"övriga hus";83
"1882 Askersund";"specialbostäder";254
"1883 Karlskoga";"småhus";7172
"1883 Karlskoga";"flerbostadshus";7339
"1883 Karlskoga";"övriga hus";274
"1883 Karlskoga";"specialbostäder";722
"1884 Nora";"småhus";3233
"1884 Nora";"flerbostadshus";1552
"1884 Nora";"övriga hus";195
"1884 Nora";"specialbostäder";123
"1885 Lindesberg";"småhus";7033
"1885 Lindesberg";"flerbostadshus";3783
"1885 Lindesberg";"övriga hus";314
"1885 Lindesberg";"specialbostäder";439
"1904 Skinnskatteberg";"småhus";1567
"1904 Skinnskatteberg";"flerbostadshus";667
"1904 Skinnskatteberg";"övriga hus";46
"1904 Skinnskatteberg";"specialbostäder";91
"1907 Surahammar";"småhus";2909
"1907 Surahammar";"flerbostadshus";1683
"1907 Surahammar";"övriga hus";27
"1907 Surahammar";"specialbostäder";211
"1960 Kungsör";"småhus";2512
"1960 Kungsör";"flerbostadshus";1200
"1960 Kungsör";"övriga hus";59
"1960 Kungsör";"specialbostäder";102
"1961 Hallstahammar";"småhus";3805
"1961 Hallstahammar";"flerbostadshus";3281
"1961 Hallstahammar";"övriga hus";131
"1961 Hallstahammar";"specialbostäder";385
"1962 Norberg";"småhus";1577
"1962 Norberg";"flerbostadshus";1356
"1962 Norberg";"övriga hus";42
"1962 Norberg";"specialbostäder";94
"1980 Västerås";"småhus";23434
"1980 Västerås";"flerbostadshus";41169
"1980 Västerås";"övriga hus";1492
"1980 Västerås";"specialbostäder";4384
"1981 Sala";"småhus";6328
"1981 Sala";"flerbostadshus";3916
"1981 Sala";"övriga hus";175
"1981 Sala";"specialbostäder";361
"1982 Fagersta";"småhus";2668
"1982 Fagersta";"flerbostadshus";3930
"1982 Fagersta";"övriga hus";80
"1982 Fagersta";"specialbostäder";319
"1983 Köping";"småhus";5320
"1983 Köping";"flerbostadshus";6964
"1983 Köping";"övriga hus";229
"1983 Köping";"specialbostäder";449
"1984 Arboga";"småhus";3371
"1984 Arboga";"flerbostadshus";3451
"1984 Arboga";"övriga hus";96
"1984 Arboga";"specialbostäder";344
"2021 Vansbro";"småhus";2498
"2021 Vansbro";"flerbostadshus";778
"2021 Vansbro";"övriga hus";50
"2021 Vansbro";"specialbostäder";137
"2023 Malung-Sälen";"småhus";4502
"2023 Malung-Sälen";"flerbostadshus";944
"2023 Malung-Sälen";"övriga hus";219
"2023 Malung-Sälen";"specialbostäder";236
"2026 Gagnef";"småhus";3832
"2026 Gagnef";"flerbostadshus";394
"2026 Gagnef";"övriga hus";26
"2026 Gagnef";"specialbostäder";133
"2029 Leksand";"småhus";5320
"2029 Leksand";"flerbostadshus";1673
"2029 Leksand";"övriga hus";163
"2029 Leksand";"specialbostäder";503
"2031 Rättvik";"småhus";3621
"2031 Rättvik";"flerbostadshus";1563
"2031 Rättvik";"övriga hus";133
"2031 Rättvik";"specialbostäder";275
"2034 Orsa";"småhus";2426
"2034 Orsa";"flerbostadshus";996
"2034 Orsa";"övriga hus";34
"2034 Orsa";"specialbostäder";171
"2039 Älvdalen";"småhus";2771
"2039 Älvdalen";"flerbostadshus";484
"2039 Älvdalen";"övriga hus";87
"2039 Älvdalen";"specialbostäder";130
"2061 Smedjebacken";"småhus";3799
"2061 Smedjebacken";"flerbostadshus";1269
"2061 Smedjebacken";"övriga hus";30
"2061 Smedjebacken";"specialbostäder";227
"2062 Mora";"småhus";6883
"2062 Mora";"flerbostadshus";2540
"2062 Mora";"övriga hus";289
"2062 Mora";"specialbostäder";586
"2080 Falun";"småhus";13507
"2080 Falun";"flerbostadshus";12914
"2080 Falun";"övriga hus";423
"2080 Falun";"specialbostäder";1207
"2081 Borlänge";"småhus";10909
"2081 Borlänge";"flerbostadshus";11971
"2081 Borlänge";"övriga hus";1166
"2081 Borlänge";"specialbostäder";713
"2082 Säter";"småhus";3477
"2082 Säter";"flerbostadshus";1548
"2082 Säter";"övriga hus";120
"2082 Säter";"specialbostäder";120
"2083 Hedemora";"småhus";4598
"2083 Hedemora";"flerbostadshus";3038
"2083 Hedemora";"övriga hus";117
"2083 Hedemora";"specialbostäder";283
"2084 Avesta";"småhus";5717
"2084 Avesta";"flerbostadshus";5754
"2084 Avesta";"övriga hus";110
"2084 Avesta";"specialbostäder";532
"2085 Ludvika";"småhus";6754
"2085 Ludvika";"flerbostadshus";6177
"2085 Ludvika";"övriga hus";252
"2085 Ludvika";"specialbostäder";793
"2101 Ockelbo";"småhus";2265
"2101 Ockelbo";"flerbostadshus";521
"2101 Ockelbo";"övriga hus";118
"2101 Ockelbo";"specialbostäder";131
"2104 Hofors";"småhus";2864
"2104 Hofors";"flerbostadshus";1950
"2104 Hofors";"övriga hus";95
"2104 Hofors";"specialbostäder";167
"2121 Ovanåker";"småhus";3627
"2121 Ovanåker";"flerbostadshus";1922
"2121 Ovanåker";"övriga hus";101
"2121 Ovanåker";"specialbostäder";175
"2132 Nordanstig";"småhus";3393
"2132 Nordanstig";"flerbostadshus";984
"2132 Nordanstig";"övriga hus";80
"2132 Nordanstig";"specialbostäder";170
"2161 Ljusdal";"småhus";5972
"2161 Ljusdal";"flerbostadshus";2982
"2161 Ljusdal";"övriga hus";224
"2161 Ljusdal";"specialbostäder";425
"2180 Gävle";"småhus";20977
"2180 Gävle";"flerbostadshus";25697
"2180 Gävle";"övriga hus";544
"2180 Gävle";"specialbostäder";2352
"2181 Sandviken";"småhus";9634
"2181 Sandviken";"flerbostadshus";8334
"2181 Sandviken";"övriga hus";287
"2181 Sandviken";"specialbostäder";885
"2182 Söderhamn";"småhus";7373
"2182 Söderhamn";"flerbostadshus";5457
"2182 Söderhamn";"övriga hus";281
"2182 Söderhamn";"specialbostäder";438
"2183 Bollnäs";"småhus";7656
"2183 Bollnäs";"flerbostadshus";5419
"2183 Bollnäs";"övriga hus";258
"2183 Bollnäs";"specialbostäder";575
"2184 Hudiksvall";"småhus";9941
"2184 Hudiksvall";"flerbostadshus";7734
"2184 Hudiksvall";"övriga hus";271
"2184 Hudiksvall";"specialbostäder";742
"2260 Ånge";"småhus";3277
"2260 Ånge";"flerbostadshus";1519
"2260 Ånge";"övriga hus";66
"2260 Ånge";"specialbostäder";262
"2262 Timrå";"småhus";4665
"2262 Timrå";"flerbostadshus";3367
"2262 Timrå";"övriga hus";103
"2262 Timrå";"specialbostäder";205
"2280 Härnösand";"småhus";6086
"2280 Härnösand";"flerbostadshus";6228
"2280 Härnösand";"övriga hus";260
"2280 Härnösand";"specialbostäder";456
"2281 Sundsvall";"småhus";19332
"2281 Sundsvall";"flerbostadshus";26401
"2281 Sundsvall";"övriga hus";774
"2281 Sundsvall";"specialbostäder";2369
"2282 Kramfors";"småhus";6599
"2282 Kramfors";"flerbostadshus";2801
"2282 Kramfors";"övriga hus";250
"2282 Kramfors";"specialbostäder";463
"2283 Sollefteå";"småhus";6285
"2283 Sollefteå";"flerbostadshus";3544
"2283 Sollefteå";"övriga hus";237
"2283 Sollefteå";"specialbostäder";425
"2284 Örnsköldsvik";"småhus";16126
"2284 Örnsköldsvik";"flerbostadshus";8980
"2284 Örnsköldsvik";"övriga hus";672
"2284 Örnsköldsvik";"specialbostäder";1498
"2303 Ragunda";"småhus";2127
"2303 Ragunda";"flerbostadshus";560
"2303 Ragunda";"övriga hus";52
"2303 Ragunda";"specialbostäder";137
"2305 Bräcke";"småhus";2373
"2305 Bräcke";"flerbostadshus";792
"2305 Bräcke";"övriga hus";99
"2305 Bräcke";"specialbostäder";172
"2309 Krokom";"småhus";4897
"2309 Krokom";"flerbostadshus";1266
"2309 Krokom";"övriga hus";57
"2309 Krokom";"specialbostäder";227
"2313 Strömsund";"småhus";4310
"2313 Strömsund";"flerbostadshus";1535
"2313 Strömsund";"övriga hus";120
"2313 Strömsund";"specialbostäder";363
"2321 Åre";"småhus";3636
"2321 Åre";"flerbostadshus";1857
"2321 Åre";"övriga hus";243
"2321 Åre";"specialbostäder";277
"2326 Berg";"småhus";2870
"2326 Berg";"flerbostadshus";423
"2326 Berg";"övriga hus";79
"2326 Berg";"specialbostäder";140
"2361 Härjedalen";"småhus";4327
"2361 Härjedalen";"flerbostadshus";1200
"2361 Härjedalen";"övriga hus";170
"2361 Härjedalen";"specialbostäder";261
"2380 Östersund";"småhus";11201
"2380 Östersund";"flerbostadshus";19657
"2380 Östersund";"övriga hus";664
"2380 Östersund";"specialbostäder";1580
"2401 Nordmaling";"småhus";2434
"2401 Nordmaling";"flerbostadshus";719
"2401 Nordmaling";"övriga hus";54
"2401 Nordmaling";"specialbostäder";88
"2403 Bjurholm";"småhus";926
"2403 Bjurholm";"flerbostadshus";82
"2403 Bjurholm";"övriga hus";78
"2403 Bjurholm";"specialbostäder";48
"2404 Vindeln";"småhus";1948
"2404 Vindeln";"flerbostadshus";412
"2404 Vindeln";"övriga hus";118
"2404 Vindeln";"specialbostäder";132
"2409 Robertsfors";"småhus";2497
"2409 Robertsfors";"flerbostadshus";469
"2409 Robertsfors";"övriga hus";27
"2409 Robertsfors";"specialbostäder";59
"2417 Norsjö";"småhus";1425
"2417 Norsjö";"flerbostadshus";426
"2417 Norsjö";"övriga hus";19
"2417 Norsjö";"specialbostäder";147
"2418 Malå";"småhus";1120
"2418 Malå";"flerbostadshus";369
"2418 Malå";"övriga hus";7
"2418 Malå";"specialbostäder";119
"2421 Storuman";"småhus";2227
"2421 Storuman";"flerbostadshus";732
"2421 Storuman";"övriga hus";114
"2421 Storuman";"specialbostäder";154
"2422 Sorsele";"småhus";973
"2422 Sorsele";"flerbostadshus";250
"2422 Sorsele";"övriga hus";23
"2422 Sorsele";"specialbostäder";125
"2425 Dorotea";"småhus";941
"2425 Dorotea";"flerbostadshus";433
"2425 Dorotea";"övriga hus";23
"2425 Dorotea";"specialbostäder";121
"2460 Vännäs";"småhus";2478
"2460 Vännäs";"flerbostadshus";1354
"2460 Vännäs";"övriga hus";148
"2460 Vännäs";"specialbostäder";250
"2462 Vilhelmina";"småhus";2207
"2462 Vilhelmina";"flerbostadshus";1130
"2462 Vilhelmina";"övriga hus";48
"2462 Vilhelmina";"specialbostäder";223
"2463 Åsele";"småhus";1059
"2463 Åsele";"flerbostadshus";400
"2463 Åsele";"övriga hus";44
"2463 Åsele";"specialbostäder";100
"2480 Umeå";"småhus";20386
"2480 Umeå";"flerbostadshus";33568
"2480 Umeå";"övriga hus";721
"2480 Umeå";"specialbostäder";7352
"2481 Lycksele";"småhus";3203
"2481 Lycksele";"flerbostadshus";2892
"2481 Lycksele";"övriga hus";104
"2481 Lycksele";"specialbostäder";277
"2482 Skellefteå";"småhus";18380
"2482 Skellefteå";"flerbostadshus";14879
"2482 Skellefteå";"övriga hus";947
"2482 Skellefteå";"specialbostäder";1857
"2505 Arvidsjaur";"småhus";2044
"2505 Arvidsjaur";"flerbostadshus";1255
"2505 Arvidsjaur";"övriga hus";88
"2505 Arvidsjaur";"specialbostäder";212
"2506 Arjeplog";"småhus";1052
"2506 Arjeplog";"flerbostadshus";353
"2506 Arjeplog";"övriga hus";66
"2506 Arjeplog";"specialbostäder";108
"2510 Jokkmokk";"småhus";1803
"2510 Jokkmokk";"flerbostadshus";620
"2510 Jokkmokk";"övriga hus";110
"2510 Jokkmokk";"specialbostäder";73
"2513 Överkalix";"småhus";1281
"2513 Överkalix";"flerbostadshus";458
"2513 Överkalix";"övriga hus";19
"2513 Överkalix";"specialbostäder";122
"2514 Kalix";"småhus";5336
"2514 Kalix";"flerbostadshus";2537
"2514 Kalix";"övriga hus";156
"2514 Kalix";"specialbostäder";439
"2518 Övertorneå";"småhus";1695
"2518 Övertorneå";"flerbostadshus";591
"2518 Övertorneå";"övriga hus";44
"2518 Övertorneå";"specialbostäder";204
"2521 Pajala";"småhus";2379
"2521 Pajala";"flerbostadshus";679
"2521 Pajala";"övriga hus";93
"2521 Pajala";"specialbostäder";166
"2523 Gällivare";"småhus";4745
"2523 Gällivare";"flerbostadshus";4166
"2523 Gällivare";"övriga hus";133
"2523 Gällivare";"specialbostäder";406
"2560 Älvsbyn";"småhus";2749
"2560 Älvsbyn";"flerbostadshus";1231
"2560 Älvsbyn";"övriga hus";78
"2560 Älvsbyn";"specialbostäder";145
"2580 Luleå";"småhus";14711
"2580 Luleå";"flerbostadshus";20802
"2580 Luleå";"övriga hus";522
"2580 Luleå";"specialbostäder";3070
"2581 Piteå";"småhus";11509
"2581 Piteå";"flerbostadshus";7384
"2581 Piteå";"övriga hus";380
"2581 Piteå";"specialbostäder";1233
"2582 Boden";"småhus";7514
"2582 Boden";"flerbostadshus";6162
"2582 Boden";"övriga hus";279
"2582 Boden";"specialbostäder";717
"2583 Haparanda";"småhus";2569
"2583 Haparanda";"flerbostadshus";2215
"2583 Haparanda";"övriga hus";81
"2583 Haparanda";"specialbostäder";261
"2584 Kiruna";"småhus";4966
"2584 Kiruna";"flerbostadshus";6024
"2584 Kiruna";"övriga hus";579
"2584 Kiruna";"specialbostäder";355
