"region";"hustyp";"2015"
"0483 Katrineholm";"specialbostäder";476
"0484 Eskilstuna";"småhus";17466
"0484 Eskilstuna";"flerbostadshus";28574
"0484 Eskilstuna";"övriga hus";907
"0484 Eskilstuna";"specialbostäder";1701
"0486 Strängnäs";"småhus";7958
"0486 Strängnäs";"flerbostadshus";6671
"0486 Strängnäs";"övriga hus";253
"0486 Strängnäs";"specialbostäder";457
"0488 Trosa";"småhus";3365
"0488 Trosa";"flerbostadshus";1636
"0488 Trosa";"övriga hus";30
"0488 Trosa";"specialbostäder";158
"0509 Ödeshög";"småhus";1821
"0509 Ödeshög";"flerbostadshus";497
"0509 Ödeshög";"övriga hus";57
"0509 Ödeshög";"specialbostäder";119
"0512 Ydre";"småhus";1495
"0512 Ydre";"flerbostadshus";155
"0512 Ydre";"övriga hus";33
"0512 Ydre";"specialbostäder";92
"0513 Kinda";"småhus";3208
"0513 Kinda";"flerbostadshus";1149
"0513 Kinda";"övriga hus";94
"0513 Kinda";"specialbostäder";168
"0560 Boxholm";"småhus";1685
"0560 Boxholm";"flerbostadshus";837
"0560 Boxholm";"övriga hus";58
"0560 Boxholm";"specialbostäder";65
"0561 Åtvidaberg";"småhus";3509
"0561 Åtvidaberg";"flerbostadshus";1829
"0561 Åtvidaberg";"övriga hus";82
"0561 Åtvidaberg";"specialbostäder";257
"0562 Finspång";"småhus";5583
"0562 Finspång";"flerbostadshus";4732
"0562 Finspång";"övriga hus";191
"0562 Finspång";"specialbostäder";394
"0563 Valdemarsvik";"småhus";2610
"0563 Valdemarsvik";"flerbostadshus";1274
"0563 Valdemarsvik";"övriga hus";47
"0563 Valdemarsvik";"specialbostäder";155
"0580 Linköping";"småhus";25112
"0580 Linköping";"flerbostadshus";43075
"0580 Linköping";"övriga hus";1056
"0580 Linköping";"specialbostäder";6782
"0581 Norrköping";"småhus";22843
"0581 Norrköping";"flerbostadshus";40013
"0581 Norrköping";"övriga hus";787
"0581 Norrköping";"specialbostäder";2785
"0582 Söderköping";"småhus";4074
"0582 Söderköping";"flerbostadshus";2073
"0582 Söderköping";"övriga hus";71
"0582 Söderköping";"specialbostäder";240
"0583 Motala";"småhus";10658
"0583 Motala";"flerbostadshus";9324
"0583 Motala";"övriga hus";330
"0583 Motala";"specialbostäder";527
"0584 Vadstena";"småhus";1938
"0584 Vadstena";"flerbostadshus";1655
"0584 Vadstena";"övriga hus";105
"0584 Vadstena";"specialbostäder";163
"0586 Mjölby";"småhus";6578
"0586 Mjölby";"flerbostadshus";6027
"0586 Mjölby";"övriga hus";211
"0586 Mjölby";"specialbostäder";26
"0604 Aneby";"småhus";2163
"0604 Aneby";"flerbostadshus";610
"0604 Aneby";"övriga hus";59
"0604 Aneby";"specialbostäder";146
"0617 Gnosjö";"småhus";2822
"0617 Gnosjö";"flerbostadshus";1001
"0617 Gnosjö";"övriga hus";33
"0617 Gnosjö";"specialbostäder";155
"0642 Mullsjö";"småhus";2338
"0642 Mullsjö";"flerbostadshus";694
"0642 Mullsjö";"övriga hus";22
"0642 Mullsjö";"specialbostäder";147
"0643 Habo";"småhus";3444
"0643 Habo";"flerbostadshus";818
"0643 Habo";"övriga hus";45
"0643 Habo";"specialbostäder";116
"0662 Gislaved";"småhus";8505
"0662 Gislaved";"flerbostadshus";4084
"0662 Gislaved";"övriga hus";301
"0662 Gislaved";"specialbostäder";454
"0665 Vaggeryd";"småhus";3996
"0665 Vaggeryd";"flerbostadshus";1546
"0665 Vaggeryd";"övriga hus";90
"0665 Vaggeryd";"specialbostäder";192
"0680 Jönköping";"småhus";24422
"0680 Jönköping";"flerbostadshus";33778
"0680 Jönköping";"övriga hus";1257
"0680 Jönköping";"specialbostäder";4461
"0682 Nässjö";"småhus";7761
"0682 Nässjö";"flerbostadshus";5660
"0682 Nässjö";"övriga hus";281
"0682 Nässjö";"specialbostäder";667
"0683 Värnamo";"småhus";8644
"0683 Värnamo";"flerbostadshus";6217
"0683 Värnamo";"övriga hus";348
"0683 Värnamo";"specialbostäder";485
"0684 Sävsjö";"småhus";3299
"0684 Sävsjö";"flerbostadshus";1490
"0684 Sävsjö";"övriga hus";86
"0684 Sävsjö";"specialbostäder";289
"0685 Vetlanda";"småhus";7914
"0685 Vetlanda";"flerbostadshus";4003
"0685 Vetlanda";"övriga hus";194
"0685 Vetlanda";"specialbostäder";475
"0686 Eksjö";"småhus";4649
"0686 Eksjö";"flerbostadshus";3231
"0686 Eksjö";"övriga hus";202
"0686 Eksjö";"specialbostäder";350
"0687 Tranås";"småhus";3997
"0687 Tranås";"flerbostadshus";4514
"0687 Tranås";"övriga hus";311
"0687 Tranås";"specialbostäder";306
"0760 Uppvidinge";"småhus";3266
"0760 Uppvidinge";"flerbostadshus";1042
"0760 Uppvidinge";"övriga hus";53
"0760 Uppvidinge";"specialbostäder";198
"0761 Lessebo";"småhus";2731
"0761 Lessebo";"flerbostadshus";871
"0761 Lessebo";"övriga hus";62
"0761 Lessebo";"specialbostäder";182
"0763 Tingsryd";"småhus";4465
"0763 Tingsryd";"flerbostadshus";1340
"0763 Tingsryd";"övriga hus";135
"0763 Tingsryd";"specialbostäder";366
"0764 Alvesta";"småhus";6066
"0764 Alvesta";"flerbostadshus";2211
"0764 Alvesta";"övriga hus";191
"0764 Alvesta";"specialbostäder";330
"0765 Älmhult";"småhus";5057
"0765 Älmhult";"flerbostadshus";2157
"0765 Älmhult";"övriga hus";178
"0765 Älmhult";"specialbostäder";270
"0767 Markaryd";"småhus";3264
"0767 Markaryd";"flerbostadshus";1323
"0767 Markaryd";"övriga hus";68
"0767 Markaryd";"specialbostäder";188
"0780 Växjö";"småhus";18602
"0780 Växjö";"flerbostadshus";17880
"0780 Växjö";"övriga hus";1304
"0780 Växjö";"specialbostäder";5167
"0781 Ljungby";"småhus";8133
"0781 Ljungby";"flerbostadshus";4511
"0781 Ljungby";"övriga hus";224
"0781 Ljungby";"specialbostäder";696
"0821 Högsby";"småhus";2301
"0821 Högsby";"flerbostadshus";470
"0821 Högsby";"övriga hus";40
"0821 Högsby";"specialbostäder";131
"0834 Torsås";"småhus";2644
"0834 Torsås";"flerbostadshus";608
"0834 Torsås";"övriga hus";37
"0834 Torsås";"specialbostäder";135
"0840 Mörbylånga";"småhus";5418
"0840 Mörbylånga";"flerbostadshus";892
"0840 Mörbylånga";"övriga hus";102
"0840 Mörbylånga";"specialbostäder";171
"0860 Hultsfred";"småhus";4713
"0860 Hultsfred";"flerbostadshus";2318
"0860 Hultsfred";"övriga hus";68
"0860 Hultsfred";"specialbostäder";188
"0861 Mönsterås";"småhus";4648
"0861 Mönsterås";"flerbostadshus";1526
"0861 Mönsterås";"övriga hus";68
"0861 Mönsterås";"specialbostäder";186
"0862 Emmaboda";"småhus";3154
"0862 Emmaboda";"flerbostadshus";1244
"0862 Emmaboda";"övriga hus";67
"0862 Emmaboda";"specialbostäder";90
"0880 Kalmar";"småhus";13691
"0880 Kalmar";"flerbostadshus";16346
"0880 Kalmar";"övriga hus";726
"0880 Kalmar";"specialbostäder";2419
"0881 Nybro";"småhus";5798
"0881 Nybro";"flerbostadshus";3716
"0881 Nybro";"övriga hus";100
"0881 Nybro";"specialbostäder";309
"0882 Oskarshamn";"småhus";6769
"0882 Oskarshamn";"flerbostadshus";5911
"0882 Oskarshamn";"övriga hus";231
"0882 Oskarshamn";"specialbostäder";477
"0883 Västervik";"småhus";9534
"0883 Västervik";"flerbostadshus";8547
"0883 Västervik";"övriga hus";241
"0883 Västervik";"specialbostäder";618
"0884 Vimmerby";"småhus";4638
"0884 Vimmerby";"flerbostadshus";2457
"0884 Vimmerby";"övriga hus";139
"0884 Vimmerby";"specialbostäder";290
"0885 Borgholm";"småhus";4367
"0885 Borgholm";"flerbostadshus";959
"0885 Borgholm";"övriga hus";172
"0885 Borgholm";"specialbostäder";239
"0980 Gotland";"småhus";16908
"0980 Gotland";"flerbostadshus";9225
"0980 Gotland";"övriga hus";472
"0980 Gotland";"specialbostäder";1274
"1060 Olofström";"småhus";4082
"1060 Olofström";"flerbostadshus";2396
"1060 Olofström";"övriga hus";261
"1060 Olofström";"specialbostäder";66
"1080 Karlskrona";"småhus";15335
"1080 Karlskrona";"flerbostadshus";14204
"1080 Karlskrona";"övriga hus";445
"1080 Karlskrona";"specialbostäder";1694
"1081 Ronneby";"småhus";8661
"1081 Ronneby";"flerbostadshus";4561
"1081 Ronneby";"övriga hus";161
