"region";"hushållstyp";"ålder";"Medelvärde,  tkr 2015";"Medianvärde, tkr 2015"
"0139 Upplands-Bro";"samtliga hushåll";"30-49 år";549.0;504.1
"0139 Upplands-Bro";"samtliga hushåll";"50-64 år";545.3;486.0
"0139 Upplands-Bro";"samtliga hushåll";"65+ år";379.0;275.5
"0139 Upplands-Bro";"samtliga hushåll";"65-79 år";410.5;307.4
"0139 Upplands-Bro";"samtliga hushåll";"80+ år";266.6;172.1
"0140 Nykvarn";"samtliga hushåll";"18+ år";553.1;504.3
"0140 Nykvarn";"samtliga hushåll";"18-29 år";422.4;368.8
"0140 Nykvarn";"samtliga hushåll";"30-49 år";635.5;606.8
"0140 Nykvarn";"samtliga hushåll";"50-64 år";639.8;578.3
"0140 Nykvarn";"samtliga hushåll";"65+ år";375.3;298.9
"0140 Nykvarn";"samtliga hushåll";"65-79 år";398.3;330.2
"0140 Nykvarn";"samtliga hushåll";"80+ år";278.6;169.3
"0160 Täby";"samtliga hushåll";"18+ år";713.0;553.8
"0160 Täby";"samtliga hushåll";"18-29 år";408.6;317.5
"0160 Täby";"samtliga hushåll";"30-49 år";833.6;724.6
"0160 Täby";"samtliga hushåll";"50-64 år";868.7;722.0
"0160 Täby";"samtliga hushåll";"65+ år";510.5;340.0
"0160 Täby";"samtliga hushåll";"65-79 år";577.1;402.5
"0160 Täby";"samtliga hushåll";"80+ år";348.2;231.8
"0162 Danderyd";"samtliga hushåll";"18+ år";1309.8;652.2
"0162 Danderyd";"samtliga hushåll";"18-29 år";458.9;281.6
"0162 Danderyd";"samtliga hushåll";"30-49 år";1521.1;919.0
"0162 Danderyd";"samtliga hushåll";"50-64 år";1721.4;902.1
"0162 Danderyd";"samtliga hushåll";"65+ år";963.7;405.5
"0162 Danderyd";"samtliga hushåll";"65-79 år";1184.4;514.2
"0162 Danderyd";"samtliga hushåll";"80+ år";562.5;271.2
"0163 Sollentuna";"samtliga hushåll";"18+ år";633.6;484.1
"0163 Sollentuna";"samtliga hushåll";"18-29 år";379.2;319.1
"0163 Sollentuna";"samtliga hushåll";"30-49 år";726.6;620.2
"0163 Sollentuna";"samtliga hushåll";"50-64 år";759.2;605.5
"0163 Sollentuna";"samtliga hushåll";"65+ år";453.0;302.6
"0163 Sollentuna";"samtliga hushåll";"65-79 år";502.9;356.0
"0163 Sollentuna";"samtliga hushåll";"80+ år";326.7;199.8
"0180 Stockholm";"samtliga hushåll";"18+ år";565.5;386.7
"0180 Stockholm";"samtliga hushåll";"18-29 år";371.4;291.8
"0180 Stockholm";"samtliga hushåll";"30-49 år";630.5;477.6
"0180 Stockholm";"samtliga hushåll";"50-64 år";661.4;458.1
"0180 Stockholm";"samtliga hushåll";"65+ år";472.7;251.4
"0180 Stockholm";"samtliga hushåll";"65-79 år";540.7;304.0
"0180 Stockholm";"samtliga hushåll";"80+ år";314.0;183.1
"0181 Södertälje";"samtliga hushåll";"18+ år";416.8;327.7
"0181 Södertälje";"samtliga hushåll";"18-29 år";362.3;299.8
"0181 Södertälje";"samtliga hushåll";"30-49 år";471.1;404.8
"0181 Södertälje";"samtliga hushåll";"50-64 år";474.5;382.4
"0181 Södertälje";"samtliga hushåll";"65+ år";311.9;205.8
"0181 Södertälje";"samtliga hushåll";"65-79 år";343.5;243.4
"0181 Södertälje";"samtliga hushåll";"80+ år";230.3;162.7
"0182 Nacka";"samtliga hushåll";"18+ år";674.4;493.0
"0182 Nacka";"samtliga hushåll";"18-29 år";404.1;308.9
"0182 Nacka";"samtliga hushåll";"30-49 år";784.5;636.0
"0182 Nacka";"samtliga hushåll";"50-64 år";793.8;599.5
"0182 Nacka";"samtliga hushåll";"65+ år";478.3;303.0
"0182 Nacka";"samtliga hushåll";"65-79 år";533.9;349.8
"0182 Nacka";"samtliga hushåll";"80+ år";326.2;204.4
"0183 Sundbyberg";"samtliga hushåll";"18+ år";481.3;372.1
"0183 Sundbyberg";"samtliga hushåll";"18-29 år";385.8;315.2
"0183 Sundbyberg";"samtliga hushåll";"30-49 år";549.3;454.5
"0183 Sundbyberg";"samtliga hushåll";"50-64 år";542.8;423.6
"0183 Sundbyberg";"samtliga hushåll";"65+ år";350.4;223.4
"0183 Sundbyberg";"samtliga hushåll";"65-79 år";389.7;266.2
"0183 Sundbyberg";"samtliga hushåll";"80+ år";247.4;170.3
"0184 Solna";"samtliga hushåll";"18+ år";509.8;394.8
"0184 Solna";"samtliga hushåll";"18-29 år";364.4;295.4
"0184 Solna";"samtliga hushåll";"30-49 år";601.6;504.3
"0184 Solna";"samtliga hushåll";"50-64 år";589.7;466.5
"0184 Solna";"samtliga hushåll";"65+ år";385.7;252.4
"0184 Solna";"samtliga hushåll";"65-79 år";438.6;308.4
"0184 Solna";"samtliga hushåll";"80+ år";268.6;184.5
"0186 Lidingö";"samtliga hushåll";"18+ år";826.5;483.5
"0186 Lidingö";"samtliga hushåll";"18-29 år";372.5;273.4
"0186 Lidingö";"samtliga hushåll";"30-49 år";986.7;653.2
"0186 Lidingö";"samtliga hushåll";"50-64 år";1102.9;642.5
"0186 Lidingö";"samtliga hushåll";"65+ år";561.7;326.9
"0186 Lidingö";"samtliga hushåll";"65-79 år";639.1;394.7
"0186 Lidingö";"samtliga hushåll";"80+ år";407.7;240.2
