"region";"hushållstyp";"ålder";"Medelvärde,  tkr 2015";"Medianvärde, tkr 2015"
"0604 Aneby";"samtliga hushåll";"65+ år";303.8;227.4
"0604 Aneby";"samtliga hushåll";"65-79 år";357.2;276.4
"0604 Aneby";"samtliga hushåll";"80+ år";188.3;145.5
"0617 Gnosjö";"samtliga hushåll";"18+ år";499.4;385.9
"0617 Gnosjö";"samtliga hushåll";"18-29 år";341.1;294.4
"0617 Gnosjö";"samtliga hushåll";"30-49 år";537.0;492.6
"0617 Gnosjö";"samtliga hushåll";"50-64 år";608.6;486.4
"0617 Gnosjö";"samtliga hushåll";"65+ år";414.1;239.6
"0617 Gnosjö";"samtliga hushåll";"65-79 år";513.7;287.9
"0617 Gnosjö";"samtliga hushåll";"80+ år";196.8;151.4
"0642 Mullsjö";"samtliga hushåll";"18+ år";407.5;349.0
"0642 Mullsjö";"samtliga hushåll";"18-29 år";336.4;302.9
"0642 Mullsjö";"samtliga hushåll";"30-49 år";467.6;461.2
"0642 Mullsjö";"samtliga hushåll";"50-64 år";479.8;457.9
"0642 Mullsjö";"samtliga hushåll";"65+ år";319.3;245.0
"0642 Mullsjö";"samtliga hushåll";"65-79 år";360.7;281.7
"0642 Mullsjö";"samtliga hushåll";"80+ år";216.8;155.1
"0643 Habo";"samtliga hushåll";"18+ år";491.6;455.8
"0643 Habo";"samtliga hushåll";"18-29 år";400.0;403.8
"0643 Habo";"samtliga hushåll";"30-49 år";552.3;535.5
"0643 Habo";"samtliga hushåll";"50-64 år";543.8;515.4
"0643 Habo";"samtliga hushåll";"65+ år";387.3;274.1
"0643 Habo";"samtliga hushåll";"65-79 år";441.0;315.1
"0643 Habo";"samtliga hushåll";"80+ år";213.6;156.3
"0662 Gislaved";"samtliga hushåll";"18+ år";460.7;349.5
"0662 Gislaved";"samtliga hushåll";"18-29 år";330.9;276.4
"0662 Gislaved";"samtliga hushåll";"30-49 år";487.3;477.4
"0662 Gislaved";"samtliga hushåll";"50-64 år";637.4;457.5
"0662 Gislaved";"samtliga hushåll";"65+ år";320.6;227.4
"0662 Gislaved";"samtliga hushåll";"65-79 år";380.0;277.6
"0662 Gislaved";"samtliga hushåll";"80+ år";202.3;151.1
"0665 Vaggeryd";"samtliga hushåll";"18+ år";448.4;397.2
"0665 Vaggeryd";"samtliga hushåll";"18-29 år";368.7;327.6
"0665 Vaggeryd";"samtliga hushåll";"30-49 år";521.5;509.7
"0665 Vaggeryd";"samtliga hushåll";"50-64 år";505.6;486.7
"0665 Vaggeryd";"samtliga hushåll";"65+ år";349.1;242.5
"0665 Vaggeryd";"samtliga hushåll";"65-79 år";415.0;297.2
"0665 Vaggeryd";"samtliga hushåll";"80+ år";207.1;152.2
"0680 Jönköping";"samtliga hushåll";"18+ år";440.1;350.3
"0680 Jönköping";"samtliga hushåll";"18-29 år";307.3;256.2
"0680 Jönköping";"samtliga hushåll";"30-49 år";513.7;484.9
"0680 Jönköping";"samtliga hushåll";"50-64 år";550.4;484.8
"0680 Jönköping";"samtliga hushåll";"65+ år";340.8;237.7
"0680 Jönköping";"samtliga hushåll";"65-79 år";392.6;282.8
"0680 Jönköping";"samtliga hushåll";"80+ år";234.6;160.1
"0682 Nässjö";"samtliga hushåll";"18+ år";389.0;326.6
"0682 Nässjö";"samtliga hushåll";"18-29 år";308.0;259.7
"0682 Nässjö";"samtliga hushåll";"30-49 år";460.3;450.7
"0682 Nässjö";"samtliga hushåll";"50-64 år";472.7;447.2
"0682 Nässjö";"samtliga hushåll";"65+ år";287.3;220.4
"0682 Nässjö";"samtliga hushåll";"65-79 år";334.7;271.4
"0682 Nässjö";"samtliga hushåll";"80+ år";197.4;150.2
"0683 Värnamo";"samtliga hushåll";"18+ år";440.8;373.4
"0683 Värnamo";"samtliga hushåll";"18-29 år";341.3;277.0
"0683 Värnamo";"samtliga hushåll";"30-49 år";518.7;499.4
"0683 Värnamo";"samtliga hushåll";"50-64 år";541.7;494.0
"0683 Värnamo";"samtliga hushåll";"65+ år";309.3;229.0
"0683 Värnamo";"samtliga hushåll";"65-79 år";358.9;282.8
"0683 Värnamo";"samtliga hushåll";"80+ år";210.1;152.4
"0684 Sävsjö";"samtliga hushåll";"18+ år";397.6;341.2
"0684 Sävsjö";"samtliga hushåll";"18-29 år";344.4;298.3
"0684 Sävsjö";"samtliga hushåll";"30-49 år";467.7;461.5
"0684 Sävsjö";"samtliga hushåll";"50-64 år";498.3;453.0
"0684 Sävsjö";"samtliga hushåll";"65+ år";287.7;219.4
"0684 Sävsjö";"samtliga hushåll";"65-79 år";336.0;277.2
"0684 Sävsjö";"samtliga hushåll";"80+ år";198.2;150.0
"0685 Vetlanda";"samtliga hushåll";"18+ år";403.4;330.1
"0685 Vetlanda";"samtliga hushåll";"18-29 år";335.8;283.3
"0685 Vetlanda";"samtliga hushåll";"30-49 år";491.5;479.1
"0685 Vetlanda";"samtliga hushåll";"50-64 år";484.1;448.1
"0685 Vetlanda";"samtliga hushåll";"65+ år";292.1;222.4
"0685 Vetlanda";"samtliga hushåll";"65-79 år";330.2;268.5
"0685 Vetlanda";"samtliga hushåll";"80+ år";220.6;152.3
"0686 Eksjö";"samtliga hushåll";"18+ år";412.3;323.2
"0686 Eksjö";"samtliga hushåll";"18-29 år";304.5;258.6
"0686 Eksjö";"samtliga hushåll";"30-49 år";489.0;464.3
"0686 Eksjö";"samtliga hushåll";"50-64 år";528.4;447.8
"0686 Eksjö";"samtliga hushåll";"65+ år";300.3;222.9
"0686 Eksjö";"samtliga hushåll";"65-79 år";352.6;273.6
"0686 Eksjö";"samtliga hushåll";"80+ år";202.4;155.7
"0687 Tranås";"samtliga hushåll";"18+ år";388.0;302.9
"0687 Tranås";"samtliga hushåll";"18-29 år";288.8;236.6
"0687 Tranås";"samtliga hushåll";"30-49 år";482.8;458.0
"0687 Tranås";"samtliga hushåll";"50-64 år";487.7;439.4
"0687 Tranås";"samtliga hushåll";"65+ år";284.4;217.1
"0687 Tranås";"samtliga hushåll";"65-79 år";326.5;260.4
"0687 Tranås";"samtliga hushåll";"80+ år";204.7;153.7
"0760 Uppvidinge";"samtliga hushåll";"18+ år";376.9;309.3
"0760 Uppvidinge";"samtliga hushåll";"18-29 år";293.9;258.3
"0760 Uppvidinge";"samtliga hushåll";"30-49 år";461.4;456.0
"0760 Uppvidinge";"samtliga hushåll";"50-64 år";474.8;447.3
"0760 Uppvidinge";"samtliga hushåll";"65+ år";269.5;217.8
"0760 Uppvidinge";"samtliga hushåll";"65-79 år";309.9;259.8
"0760 Uppvidinge";"samtliga hushåll";"80+ år";194.6;147.5
"0761 Lessebo";"samtliga hushåll";"18+ år";368.0;312.6
"0761 Lessebo";"samtliga hushåll";"18-29 år";281.8;236.4
"0761 Lessebo";"samtliga hushåll";"30-49 år";431.5;418.4
"0761 Lessebo";"samtliga hushåll";"50-64 år";450.2;424.5
"0761 Lessebo";"samtliga hushåll";"65+ år";279.1;223.7
"0761 Lessebo";"samtliga hushåll";"65-79 år";319.0;267.9
"0761 Lessebo";"samtliga hushåll";"80+ år";194.3;156.2
"0763 Tingsryd";"samtliga hushåll";"18+ år";369.8;300.0
"0763 Tingsryd";"samtliga hushåll";"18-29 år";310.5;267.5
"0763 Tingsryd";"samtliga hushåll";"30-49 år";435.4;424.0
"0763 Tingsryd";"samtliga hushåll";"50-64 år";473.0;426.6
"0763 Tingsryd";"samtliga hushåll";"65+ år";269.8;200.6
"0763 Tingsryd";"samtliga hushåll";"65-79 år";312.4;258.5
"0763 Tingsryd";"samtliga hushåll";"80+ år";197.5;148.6
"0764 Alvesta";"samtliga hushåll";"18+ år";424.1;343.7
"0764 Alvesta";"samtliga hushåll";"18-29 år";323.7;272.3
"0764 Alvesta";"samtliga hushåll";"30-49 år";480.0;471.6
"0764 Alvesta";"samtliga hushåll";"50-64 år";492.0;446.5
"0764 Alvesta";"samtliga hushåll";"65+ år";348.0;230.4
"0764 Alvesta";"samtliga hushåll";"65-79 år";398.6;278.0
"0764 Alvesta";"samtliga hushåll";"80+ år";252.0;154.9
"0765 Älmhult";"samtliga hushåll";"18+ år";433.1;361.1
"0765 Älmhult";"samtliga hushåll";"18-29 år";320.6;276.9
"0765 Älmhult";"samtliga hushåll";"30-49 år";537.9;510.3
"0765 Älmhult";"samtliga hushåll";"50-64 år";537.7;478.8
"0765 Älmhult";"samtliga hushåll";"65+ år";283.1;213.8
"0765 Älmhult";"samtliga hushåll";"65-79 år";322.1;272.1
"0765 Älmhult";"samtliga hushåll";"80+ år";213.0;149.4
"0767 Markaryd";"samtliga hushåll";"18+ år";373.6;296.8
"0767 Markaryd";"samtliga hushåll";"18-29 år";311.1;269.2
"0767 Markaryd";"samtliga hushåll";"30-49 år";447.6;422.4
"0767 Markaryd";"samtliga hushåll";"50-64 år";456.5;404.4
"0767 Markaryd";"samtliga hushåll";"65+ år";280.1;204.4
"0767 Markaryd";"samtliga hushåll";"65-79 år";324.0;253.7
"0767 Markaryd";"samtliga hushåll";"80+ år";192.4;149.3
"0780 Växjö";"samtliga hushåll";"18+ år";430.1;342.8
"0780 Växjö";"samtliga hushåll";"18-29 år";284.7;232.9
"0780 Växjö";"samtliga hushåll";"30-49 år";499.5;473.8
"0780 Växjö";"samtliga hushåll";"50-64 år";551.0;481.7
"0780 Växjö";"samtliga hushåll";"65+ år";344.6;248.2
"0780 Växjö";"samtliga hushåll";"65-79 år";393.5;295.2
"0780 Växjö";"samtliga hushåll";"80+ år";238.2;165.0
"0781 Ljungby";"samtliga hushåll";"18+ år";409.1;325.8
"0781 Ljungby";"samtliga hushåll";"18-29 år";301.3;257.0
"0781 Ljungby";"samtliga hushåll";"30-49 år";483.6;465.8
"0781 Ljungby";"samtliga hushåll";"50-64 år";479.7;434.4
"0781 Ljungby";"samtliga hushåll";"65+ år";327.8;217.5
"0781 Ljungby";"samtliga hushåll";"65-79 år";391.2;265.2
"0781 Ljungby";"samtliga hushåll";"80+ år";197.5;150.7
"0821 Högsby";"samtliga hushåll";"18+ år";351.5;292.5
"0821 Högsby";"samtliga hushåll";"18-29 år";301.5;254.8
"0821 Högsby";"samtliga hushåll";"30-49 år";417.5;400.5
"0821 Högsby";"samtliga hushåll";"50-64 år";432.4;397.9
"0821 Högsby";"samtliga hushåll";"65+ år";253.2;177.1
"0821 Högsby";"samtliga hushåll";"65-79 år";294.0;234.6
"0821 Högsby";"samtliga hushåll";"80+ år";173.2;141.0
"0834 Torsås";"samtliga hushåll";"18+ år";366.5;298.2
"0834 Torsås";"samtliga hushåll";"18-29 år";302.1;283.7
"0834 Torsås";"samtliga hushåll";"30-49 år";436.1;425.6
"0834 Torsås";"samtliga hushåll";"50-64 år";439.2;403.0
"0834 Torsås";"samtliga hushåll";"65+ år";281.0;208.7
"0834 Torsås";"samtliga hushåll";"65-79 år";307.2;248.5
"0834 Torsås";"samtliga hushåll";"80+ år";223.7;146.0
"0840 Mörbylånga";"samtliga hushåll";"18+ år";435.4;376.7
"0840 Mörbylånga";"samtliga hushåll";"18-29 år";339.8;306.3
"0840 Mörbylånga";"samtliga hushåll";"30-49 år";526.8;505.5
"0840 Mörbylånga";"samtliga hushåll";"50-64 år";537.7;492.3
"0840 Mörbylånga";"samtliga hushåll";"65+ år";311.5;248.4
"0840 Mörbylånga";"samtliga hushåll";"65-79 år";349.5;287.5
"0840 Mörbylånga";"samtliga hushåll";"80+ år";207.8;155.1
"0860 Hultsfred";"samtliga hushåll";"18+ år";359.5;290.8
"0860 Hultsfred";"samtliga hushåll";"18-29 år";322.0;276.9
"0860 Hultsfred";"samtliga hushåll";"30-49 år";428.3;416.7
"0860 Hultsfred";"samtliga hushåll";"50-64 år";458.6;410.4
"0860 Hultsfred";"samtliga hushåll";"65+ år";253.3;203.8
"0860 Hultsfred";"samtliga hushåll";"65-79 år";286.4;247.6
"0860 Hultsfred";"samtliga hushåll";"80+ år";190.1;150.0
"0861 Mönsterås";"samtliga hushåll";"18+ år";386.5;321.7
"0861 Mönsterås";"samtliga hushåll";"18-29 år";309.6;278.0
"0861 Mönsterås";"samtliga hushåll";"30-49 år";466.5;456.8
"0861 Mönsterås";"samtliga hushåll";"50-64 år";476.2;445.3
"0861 Mönsterås";"samtliga hushåll";"65+ år";280.5;223.2
"0861 Mönsterås";"samtliga hushåll";"65-79 år";316.4;263.3
"0861 Mönsterås";"samtliga hushåll";"80+ år";201.5;154.9
"0862 Emmaboda";"samtliga hushåll";"18+ år";357.6;296.6
"0862 Emmaboda";"samtliga hushåll";"18-29 år";298.3;261.8
"0862 Emmaboda";"samtliga hushåll";"30-49 år";431.8;405.0
"0862 Emmaboda";"samtliga hushåll";"50-64 år";450.0;410.1
"0862 Emmaboda";"samtliga hushåll";"65+ år";253.1;204.2
"0862 Emmaboda";"samtliga hushåll";"65-79 år";284.8;246.1
"0862 Emmaboda";"samtliga hushåll";"80+ år";188.8;152.9
"0880 Kalmar";"samtliga hushåll";"18+ år";410.4;325.9
"0880 Kalmar";"samtliga hushåll";"18-29 år";275.5;230.9
"0880 Kalmar";"samtliga hushåll";"30-49 år";486.7;458.7
"0880 Kalmar";"samtliga hushåll";"50-64 år";520.5;452.2
"0880 Kalmar";"samtliga hushåll";"65+ år";320.2;233.4
"0880 Kalmar";"samtliga hushåll";"65-79 år";364.8;274.6
"0880 Kalmar";"samtliga hushåll";"80+ år";223.5;160.6
"0881 Nybro";"samtliga hushåll";"18+ år";356.4;288.7
"0881 Nybro";"samtliga hushåll";"18-29 år";284.9;249.8
"0881 Nybro";"samtliga hushåll";"30-49 år";424.2;415.7
"0881 Nybro";"samtliga hushåll";"50-64 år";443.9;405.2
"0881 Nybro";"samtliga hushåll";"65+ år";266.2;201.3
"0881 Nybro";"samtliga hushåll";"65-79 år";297.5;242.9
"0881 Nybro";"samtliga hushåll";"80+ år";200.6;151.9
"0882 Oskarshamn";"samtliga hushåll";"18+ år";411.9;341.4
"0882 Oskarshamn";"samtliga hushåll";"18-29 år";345.1;302.1
"0882 Oskarshamn";"samtliga hushåll";"30-49 år";502.9;496.2
"0882 Oskarshamn";"samtliga hushåll";"50-64 år";501.8;475.6
"0882 Oskarshamn";"samtliga hushåll";"65+ år";289.2;232.5
"0882 Oskarshamn";"samtliga hushåll";"65-79 år";329.5;271.5
"0882 Oskarshamn";"samtliga hushåll";"80+ år";199.1;153.1
"0883 Västervik";"samtliga hushåll";"18+ år";370.9;296.1
"0883 Västervik";"samtliga hushåll";"18-29 år";279.5;238.0
"0883 Västervik";"samtliga hushåll";"30-49 år";454.4;432.2
"0883 Västervik";"samtliga hushåll";"50-64 år";452.7;411.8
"0883 Västervik";"samtliga hushåll";"65+ år";279.9;216.0
"0883 Västervik";"samtliga hushåll";"65-79 år";314.8;250.0
"0883 Västervik";"samtliga hushåll";"80+ år";200.0;154.0
"0884 Vimmerby";"samtliga hushåll";"18+ år";387.9;322.2
"0884 Vimmerby";"samtliga hushåll";"18-29 år";306.9;264.3
"0884 Vimmerby";"samtliga hushåll";"30-49 år";465.7;459.8
"0884 Vimmerby";"samtliga hushåll";"50-64 år";485.7;440.7
"0884 Vimmerby";"samtliga hushåll";"65+ år";280.3;220.8
"0884 Vimmerby";"samtliga hushåll";"65-79 år";318.1;265.3
"0884 Vimmerby";"samtliga hushåll";"80+ år";203.9;149.1
"0885 Borgholm";"samtliga hushåll";"18+ år";384.8;296.1
"0885 Borgholm";"samtliga hushåll";"18-29 år";326.8;276.1
"0885 Borgholm";"samtliga hushåll";"30-49 år";477.3;451.7
"0885 Borgholm";"samtliga hushåll";"50-64 år";481.5;396.7
"0885 Borgholm";"samtliga hushåll";"65+ år";293.7;215.8
"0885 Borgholm";"samtliga hushåll";"65-79 år";335.9;260.8
"0885 Borgholm";"samtliga hushåll";"80+ år";196.6;151.1
"0980 Gotland";"samtliga hushåll";"18+ år";394.6;309.2
"0980 Gotland";"samtliga hushåll";"18-29 år";290.7;228.3
"0980 Gotland";"samtliga hushåll";"30-49 år";459.1;431.8
"0980 Gotland";"samtliga hushåll";"50-64 år";486.5;411.1
"0980 Gotland";"samtliga hushåll";"65+ år";300.4;213.7
"0980 Gotland";"samtliga hushåll";"65-79 år";337.3;251.1
"0980 Gotland";"samtliga hushåll";"80+ år";209.0;153.5
"1060 Olofström";"samtliga hushåll";"18+ år";359.4;303.9
"1060 Olofström";"samtliga hushåll";"18-29 år";302.7;277.5
"1060 Olofström";"samtliga hushåll";"30-49 år";434.0;416.4
"1060 Olofström";"samtliga hushåll";"50-64 år";445.5;422.9
"1060 Olofström";"samtliga hushåll";"65+ år";261.6;209.6
"1060 Olofström";"samtliga hushåll";"65-79 år";295.3;254.0
"1060 Olofström";"samtliga hushåll";"80+ år";194.4;154.5
"1080 Karlskrona";"samtliga hushåll";"18+ år";395.7;322.6
"1080 Karlskrona";"samtliga hushåll";"18-29 år";270.4;224.5
"1080 Karlskrona";"samtliga hushåll";"30-49 år";485.5;467.2
"1080 Karlskrona";"samtliga hushåll";"50-64 år";486.7;443.1
"1080 Karlskrona";"samtliga hushåll";"65+ år";292.3;222.3
"1080 Karlskrona";"samtliga hushåll";"65-79 år";330.5;264.3
"1080 Karlskrona";"samtliga hushåll";"80+ år";205.6;157.6
"1081 Ronneby";"samtliga hushåll";"18+ år";368.1;302.8
"1081 Ronneby";"samtliga hushåll";"18-29 år";273.4;234.6
"1081 Ronneby";"samtliga hushåll";"30-49 år";442.3;440.2
"1081 Ronneby";"samtliga hushåll";"50-64 år";455.0;409.0
"1081 Ronneby";"samtliga hushåll";"65+ år";272.3;223.2
"1081 Ronneby";"samtliga hushåll";"65-79 år";303.3;258.0
"1081 Ronneby";"samtliga hushåll";"80+ år";206.4;157.8
"1082 Karlshamn";"samtliga hushåll";"18+ år";380.1;310.0
"1082 Karlshamn";"samtliga hushåll";"18-29 år";278.4;235.5
"1082 Karlshamn";"samtliga hushåll";"30-49 år";454.8;439.0
"1082 Karlshamn";"samtliga hushåll";"50-64 år";473.9;433.7
"1082 Karlshamn";"samtliga hushåll";"65+ år";284.1;223.7
"1082 Karlshamn";"samtliga hushåll";"65-79 år";323.1;263.6
"1082 Karlshamn";"samtliga hushåll";"80+ år";200.2;154.9
"1083 Sölvesborg";"samtliga hushåll";"18+ år";393.5;322.0
"1083 Sölvesborg";"samtliga hushåll";"18-29 år";306.4;270.7
"1083 Sölvesborg";"samtliga hushåll";"30-49 år";471.4;450.7
"1083 Sölvesborg";"samtliga hushåll";"50-64 år";482.9;432.8
"1083 Sölvesborg";"samtliga hushåll";"65+ år";290.4;221.2
"1083 Sölvesborg";"samtliga hushåll";"65-79 år";328.1;264.9
"1083 Sölvesborg";"samtliga hushåll";"80+ år";205.8;152.4
"1214 Svalöv";"samtliga hushåll";"18+ år";410.9;355.5
"1214 Svalöv";"samtliga hushåll";"18-29 år";306.2;269.1
"1214 Svalöv";"samtliga hushåll";"30-49 år";483.0;466.5
"1214 Svalöv";"samtliga hushåll";"50-64 år";488.2;430.8
"1214 Svalöv";"samtliga hushåll";"65+ år";290.4;226.1
"1214 Svalöv";"samtliga hushåll";"65-79 år";324.5;265.8
"1214 Svalöv";"samtliga hushåll";"80+ år";206.7;154.9
"1230 Staffanstorp";"samtliga hushåll";"18+ år";525.0;464.2
"1230 Staffanstorp";"samtliga hushåll";"18-29 år";375.9;323.0
"1230 Staffanstorp";"samtliga hushåll";"30-49 år";598.0;586.9
"1230 Staffanstorp";"samtliga hushåll";"50-64 år";605.1;562.2
"1230 Staffanstorp";"samtliga hushåll";"65+ år";398.7;293.3
"1230 Staffanstorp";"samtliga hushåll";"65-79 år";445.4;333.0
"1230 Staffanstorp";"samtliga hushåll";"80+ år";267.6;193.1
"1231 Burlöv";"samtliga hushåll";"18+ år";416.4;340.8
"1231 Burlöv";"samtliga hushåll";"18-29 år";333.1;276.3
"1231 Burlöv";"samtliga hushåll";"30-49 år";489.0;461.8
"1231 Burlöv";"samtliga hushåll";"50-64 år";477.4;419.1
"1231 Burlöv";"samtliga hushåll";"65+ år";298.5;215.5
"1231 Burlöv";"samtliga hushåll";"65-79 år";327.5;250.5
"1231 Burlöv";"samtliga hushåll";"80+ år";221.4;158.1
"1233 Vellinge";"samtliga hushåll";"18+ år";683.4;524.0
"1233 Vellinge";"samtliga hushåll";"18-29 år";427.4;348.2
"1233 Vellinge";"samtliga hushåll";"30-49 år";743.9;644.4
"1233 Vellinge";"samtliga hushåll";"50-64 år";844.4;648.3
"1233 Vellinge";"samtliga hushåll";"65+ år";534.4;334.3
"1233 Vellinge";"samtliga hushåll";"65-79 år";599.9;387.1
"1233 Vellinge";"samtliga hushåll";"80+ år";338.7;212.0
"1256 Östra Göinge";"samtliga hushåll";"18+ år";378.0;318.1
"1256 Östra Göinge";"samtliga hushåll";"18-29 år";294.6;251.9
"1256 Östra Göinge";"samtliga hushåll";"30-49 år";454.7;450.4
"1256 Östra Göinge";"samtliga hushåll";"50-64 år";464.5;430.1
"1256 Östra Göinge";"samtliga hushåll";"65+ år";272.4;224.8
"1256 Östra Göinge";"samtliga hushåll";"65-79 år";302.6;261.4
"1256 Östra Göinge";"samtliga hushåll";"80+ år";201.9;157.0
"1257 Örkelljunga";"samtliga hushåll";"18+ år";368.4;305.6
"1257 Örkelljunga";"samtliga hushåll";"18-29 år";319.7;292.8
"1257 Örkelljunga";"samtliga hushåll";"30-49 år";433.7;418.7
"1257 Örkelljunga";"samtliga hushåll";"50-64 år";447.2;393.5
"1257 Örkelljunga";"samtliga hushåll";"65+ år";273.1;209.3
"1257 Örkelljunga";"samtliga hushåll";"65-79 år";305.3;251.6
"1257 Örkelljunga";"samtliga hushåll";"80+ år";202.0;154.8
"1260 Bjuv";"samtliga hushåll";"18+ år";381.9;333.1
"1260 Bjuv";"samtliga hushåll";"18-29 år";341.1;323.7
"1260 Bjuv";"samtliga hushåll";"30-49 år";439.0;435.1
"1260 Bjuv";"samtliga hushåll";"50-64 år";449.2;422.1
"1260 Bjuv";"samtliga hushåll";"65+ år";265.9;229.2
"1260 Bjuv";"samtliga hushåll";"65-79 år";292.9;264.0
"1260 Bjuv";"samtliga hushåll";"80+ år";198.3;151.9
"1261 Kävlinge";"samtliga hushåll";"18+ år";516.1;449.2
"1261 Kävlinge";"samtliga hushåll";"18-29 år";356.6;318.6
"1261 Kävlinge";"samtliga hushåll";"30-49 år";610.1;576.3
"1261 Kävlinge";"samtliga hushåll";"50-64 år";599.6;538.3
"1261 Kävlinge";"samtliga hushåll";"65+ år";361.3;273.9
"1261 Kävlinge";"samtliga hushåll";"65-79 år";405.9;315.0
"1261 Kävlinge";"samtliga hushåll";"80+ år";235.8;168.7
"1262 Lomma";"samtliga hushåll";"18+ år";650.2;541.9
"1262 Lomma";"samtliga hushåll";"18-29 år";347.5;291.9
"1262 Lomma";"samtliga hushåll";"30-49 år";756.0;696.0
"1262 Lomma";"samtliga hushåll";"50-64 år";786.0;662.6
"1262 Lomma";"samtliga hushåll";"65+ år";469.8;322.9
"1262 Lomma";"samtliga hushåll";"65-79 år";523.2;375.7
"1262 Lomma";"samtliga hushåll";"80+ år";335.2;218.9
"1263 Svedala";"samtliga hushåll";"18+ år";496.7;440.2
"1263 Svedala";"samtliga hushåll";"18-29 år";543.9;321.4
"1263 Svedala";"samtliga hushåll";"30-49 år";551.2;548.1
"1263 Svedala";"samtliga hushåll";"50-64 år";565.4;522.5
"1263 Svedala";"samtliga hushåll";"65+ år";347.8;271.0
"1263 Svedala";"samtliga hushåll";"65-79 år";388.4;308.9
"1263 Svedala";"samtliga hushåll";"80+ år";236.7;161.1
"1264 Skurup";"samtliga hushåll";"18+ år";426.8;362.1
"1264 Skurup";"samtliga hushåll";"18-29 år";333.2;284.6
"1264 Skurup";"samtliga hushåll";"30-49 år";501.9;491.3
"1264 Skurup";"samtliga hushåll";"50-64 år";503.9;465.3
"1264 Skurup";"samtliga hushåll";"65+ år";310.6;227.5
"1264 Skurup";"samtliga hushåll";"65-79 år";350.1;267.0
"1264 Skurup";"samtliga hushåll";"80+ år";213.6;155.1
"1265 Sjöbo";"samtliga hushåll";"18+ år";397.3;330.5
"1265 Sjöbo";"samtliga hushåll";"18-29 år";374.7;316.2
"1265 Sjöbo";"samtliga hushåll";"30-49 år";461.2;453.3
"1265 Sjöbo";"samtliga hushåll";"50-64 år";458.8;407.5
"1265 Sjöbo";"samtliga hushåll";"65+ år";292.9;219.8
"1265 Sjöbo";"samtliga hushåll";"65-79 år";331.3;258.7
"1265 Sjöbo";"samtliga hushåll";"80+ år";194.1;149.8
"1266 Hörby";"samtliga hushåll";"18+ år";395.0;323.9
"1266 Hörby";"samtliga hushåll";"18-29 år";331.1;292.6
"1266 Hörby";"samtliga hushåll";"30-49 år";463.7;453.0
"1266 Hörby";"samtliga hushåll";"50-64 år";465.7;411.2
"1266 Hörby";"samtliga hushåll";"65+ år";293.9;203.0
"1266 Hörby";"samtliga hushåll";"65-79 år";345.4;255.6
"1266 Hörby";"samtliga hushåll";"80+ år";186.3;151.4
"1267 Höör";"samtliga hushåll";"18+ år";436.9;377.8
"1267 Höör";"samtliga hushåll";"18-29 år";348.0;308.8
"1267 Höör";"samtliga hushåll";"30-49 år";506.3;502.8
"1267 Höör";"samtliga hushåll";"50-64 år";518.8;458.9
"1267 Höör";"samtliga hushåll";"65+ år";315.0;238.7
"1267 Höör";"samtliga hushåll";"65-79 år";358.0;281.4
"1267 Höör";"samtliga hushåll";"80+ år";211.9;159.3
"1270 Tomelilla";"samtliga hushåll";"18+ år";391.2;319.9
"1270 Tomelilla";"samtliga hushåll";"18-29 år";332.8;295.9
"1270 Tomelilla";"samtliga hushåll";"30-49 år";453.3;443.9
"1270 Tomelilla";"samtliga hushåll";"50-64 år";452.9;397.3
"1270 Tomelilla";"samtliga hushåll";"65+ år";312.4;221.0
"1270 Tomelilla";"samtliga hushåll";"65-79 år";356.4;262.4
"1270 Tomelilla";"samtliga hushåll";"80+ år";216.8;154.0
"1272 Bromölla";"samtliga hushåll";"18+ år";396.9;335.9
"1272 Bromölla";"samtliga hushåll";"18-29 år";311.2;297.6
"1272 Bromölla";"samtliga hushåll";"30-49 år";466.1;466.0
"1272 Bromölla";"samtliga hushåll";"50-64 år";492.3;437.3
"1272 Bromölla";"samtliga hushåll";"65+ år";285.2;230.8
"1272 Bromölla";"samtliga hushåll";"65-79 år";320.1;264.9
"1272 Bromölla";"samtliga hushåll";"80+ år";203.2;155.5
"1273 Osby";"samtliga hushåll";"18+ år";388.9;310.8
"1273 Osby";"samtliga hushåll";"18-29 år";313.4;270.9
"1273 Osby";"samtliga hushåll";"30-49 år";458.0;455.7
"1273 Osby";"samtliga hushåll";"50-64 år";505.0;427.0
"1273 Osby";"samtliga hushåll";"65+ år";277.4;219.5
"1273 Osby";"samtliga hushåll";"65-79 år";319.2;263.8
"1273 Osby";"samtliga hushåll";"80+ år";195.6;150.5
"1275 Perstorp";"samtliga hushåll";"18+ år";352.8;287.5
"1275 Perstorp";"samtliga hushåll";"18-29 år";293.3;235.3
"1275 Perstorp";"samtliga hushåll";"30-49 år";422.0;393.9
"1275 Perstorp";"samtliga hushåll";"50-64 år";427.2;383.3
"1275 Perstorp";"samtliga hushåll";"65+ år";259.2;194.0
"1275 Perstorp";"samtliga hushåll";"65-79 år";297.8;256.5
"1275 Perstorp";"samtliga hushåll";"80+ år";182.7;147.6
"1276 Klippan";"samtliga hushåll";"18+ år";364.4;303.3
"1276 Klippan";"samtliga hushåll";"18-29 år";306.6;276.1
"1276 Klippan";"samtliga hushåll";"30-49 år";442.1;424.1
"1276 Klippan";"samtliga hushåll";"50-64 år";430.3;369.2
"1276 Klippan";"samtliga hushåll";"65+ år";261.4;206.7
"1276 Klippan";"samtliga hushåll";"65-79 år";289.0;242.5
