"0483 Katrineholm";6.85;6.05;7.99;8.82;8.20;9.68;..;..;3.97;5.32;1.28;4.18;4.39;2.62;4.35;3.59
"0484 Eskilstuna";6.78;6.67;5.50;7.61;7.05;6.74;..;..;5.05;5.15;3.21;7.54;4.74;5.77;8.58;7.85
"0486 Str�ngn�s";7.12;8.54;2.24;8.71;9.10;6.33;..;..;6.81;7.50;8.89;9.13;8.78;4.18;5.05;4.70
"0488 Trosa";3.91;6.50;6.60;3.84;7.61;3.63;..;..;4.32;4.35;3.28;1.69;3.77;0.27;3.18;7.54
"0509 �desh�g";5.25;0.00;8.65;1.34;1.17;9.27;..;..;8.75;2.07;9.82;6.78;7.71;9.34;0.72;3.66
"0512 Ydre";5.01;8.47;9.58;8.51;0.51;0.34;..;..;9.34;0.58;0.96;2.69;1.62;0.34;7.61;9.55
"0513 Kinda";0.38;3.84;2.28;1.79;6.50;7.43;..;..;6.02;2.62;3.46;1.55;7.50;9.30;0.76;0.38
"0560 Boxholm";9.03;7.23;9.10;8.92;7.68;9.48;..;..;9.86;8.89;9.61;6.12;4.84;7.43;3.66;10.00
"0561 �tvidaberg";5.77;1.86;8.92;5.60;5.39;4.25;..;..;9.06;8.37;5.64;3.01;4.04;2.11;1.55;1.45
"0562 Finsp�ng";5.88;8.26;7.95;9.65;7.78;1.90;..;..;6.50;4.11;7.37;5.88;6.26;5.74;6.85;2.49
"0563 Valdemarsvik";2.97;8.68;4.29;6.71;9.13;0.79;..;..;6.67;3.28;7.78;9.20;4.67;9.41;4.94;4.29
"0580 Link�ping";2.87;3.39;4.32;4.18;4.01;6.67;..;..;6.08;7.99;3.42;7.30;8.20;5.98;2.59;4.35
"0581 Norrk�ping";5.81;7.30;6.53;6.67;7.37;7.26;..;..;7.50;8.26;5.98;6.92;7.19;7.61;3.52;3.42
"0582 S�derk�ping";7.82;5.77;5.43;7.43;6.47;2.31;..;..;7.88;8.06;1.76;7.47;5.43;8.37;6.50;3.14
"0583 Motala";8.82;7.71;8.85;4.80;8.06;6.92;..;..;4.53;6.05;5.25;5.22;5.88;7.75;5.39;3.84
"0584 Vadstena";0.00;0.00;0.76;0.00;2.59;0.58;..;..;2.07;6.88;7.43;3.04;6.05;6.57;7.85;5.19
"0586 Mj�lby";5.60;4.70;3.84;4.42;2.66;7.57;..;..;0.62;1.52;3.63;2.35;1.00;9.13;5.95;8.51
"0604 Aneby";4.32;8.99;0.58;1.52;7.57;4.01;..;..;8.61;9.65;4.67;10.00;7.92;9.96;9.48;9.44
"0617 Gnosj�";0.55;1.10;9.61;6.08;2.56;1.55;..;..;0.58;0.41;4.35;0.41;1.93;2.83;0.83;0.72
"0642 Mullsj�";8.58;6.57;9.55;0.72;8.85;8.09;..;..;3.80;9.93;0.76;9.75;4.46;5.36;8.82;5.53
"0643 Habo";0.86;3.21;7.23;2.56;0.72;9.51;..;..;8.30;4.39;3.80;4.25;7.78;8.85;2.24;3.18
"0662 Gislaved";3.59;2.87;8.71;5.81;6.26;3.07;..;..;1.41;5.19;1.69;4.91;4.56;1.03;3.01;5.29
"0665 Vaggeryd";3.11;5.74;1.07;0.20;4.80;5.95;..;..;4.84;6.98;6.19;3.70;6.43;4.42;2.21;0.86
"0680 J�nk�ping";3.80;3.35;3.63;4.56;4.84;6.78;..;..;4.60;4.18;4.25;6.22;6.33;7.16;3.94;4.25
"0682 N�ssj�";3.56;6.08;3.04;1.76;5.01;4.94;..;..;3.04;0.93;4.39;0.79;0.96;1.76;1.28;3.39
"0683 V�rnamo";2.17;2.24;0.79;0.96;1.34;1.21;..;..;0.89;1.97;1.83;1.86;2.80;6.85;3.39;3.46
"0684 S�vsj�";3.28;1.31;0.72;1.83;8.23;7.23;..;..;4.63;1.07;2.83;2.31;2.45;5.53;3.84;6.95
"0685 Vetlanda";3.77;3.18;5.77;5.08;6.95;7.92;..;..;4.98;3.11;1.73;0.96;1.79;4.80;4.01;2.62
"0686 Eksj�";4.94;4.98;2.31;8.61;2.42;9.41;..;..;1.10;2.66;1.31;0.72;6.40;4.91;2.52;3.63
"0687 Tran�s";5.74;5.08;6.47;8.58;4.87;2.21;..;..;0.24;0.38;0.65;0.34;2.66;5.25;0.51;1.21
"0760 Uppvidinge";9.75;9.16;6.67;8.23;9.93;7.40;..;..;7.40;1.66;8.33;7.26;8.26;0.58;8.61;8.75
"0761 Lessebo";9.72;0.83;8.16;4.32;4.42;8.71;..;..;9.03;9.27;5.70;8.02;9.86;7.30;1.03;6.92
"0763 Tingsryd";1.14;3.46;1.93;1.31;3.46;8.61;..;..;4.22;6.40;7.99;1.83;4.08;0.65;0.38;4.46
"0764 Alvesta";1.07;3.63;7.05;4.67;1.48;8.02;..;..;2.31;5.22;5.39;3.21;2.11;2.90;4.29;2.56
"0765 �lmhult";7.92;8.61;2.11;3.32;8.13;6.57;..;..;2.52;1.17;2.66;0.89;1.45;0.83;1.24;6.15
"0767 Markaryd";1.93;0.00;4.70;0.27;1.14;5.57;..;..;5.15;9.10;3.07;6.95;8.96;3.49;6.71;4.15
"0780 V�xj�";1.97;3.94;4.94;2.83;2.73;5.88;..;..;3.73;4.15;2.59;3.14;2.24;4.01;2.45;2.69
"0781 Ljungby";6.57;4.53;8.96;7.30;6.22;9.37;..;..;4.18;5.43;6.33;8.13;1.86;7.47;6.43;8.99
"0821 H�gsby";3.21;9.10;1.66;5.98;6.64;9.16;..;..;5.12;1.28;2.94;2.07;8.06;4.98;2.17;9.82
"0834 Tors�s";3.25;5.32;5.81;3.77;5.64;4.11;..;..;7.85;8.23;2.21;9.34;7.64;8.78;6.92;4.60
"0840 M�rbyl�nga";9.48;7.78;5.88;8.09;8.92;0.62;..;..;4.04;2.87;7.88;1.03;3.52;2.17;0.41;1.97
"0860 Hultsfred";7.33;1.28;8.89;1.38;0.86;6.08;..;..;8.16;6.60;0.79;8.09;9.41;6.26;1.66;5.74
"0861 M�nster�s";6.53;5.70;2.49;7.57;8.37;3.42;..;..;7.61;7.43;0.89;4.42;4.63;9.06;5.77;4.80
"0862 Emmaboda";9.13;0.96;2.97;0.24;9.65;4.49;..;..;0.69;8.13;0.38;8.30;0.48;5.22;6.05;3.80
"0880 Kalmar";5.15;2.38;5.19;2.59;2.14;4.77;..;..;1.93;1.48;2.04;1.93;1.48;1.93;0.93;2.28
"0881 Nybro";5.98;3.28;4.80;1.86;3.63;6.12;..;..;5.53;1.76;5.46;4.29;2.59;7.68;4.53;2.45
"0882 Oskarshamn";1.21;0.55;1.76;1.69;1.10;4.74;..;..;6.19;2.52;8.54;2.73;6.02;6.43;1.86;2.14
"0883 V�stervik";7.26;2.52;6.22;2.94;8.82;5.19;..;..;4.35;6.85;5.53;5.25;5.98;5.95;6.60;9.30
"0884 Vimmerby";7.50;7.50;9.13;8.30;9.27;5.74;..;..;7.75;5.84;2.80;7.09;9.37;5.50;6.12;9.65
